"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Customer","0","Transaction History","1","0","Read-only transaction history","0"
"0","Bank Manager","0","Add Customer","1","0","Add Customer form functionality","0"
"0","Customer","0","Transaction History","1","0","Navigate back from transactions","0"
"0","Bank Manager","0","Delete Customer","1","0","Delete customer","0"
"0","Bank Manager","0","Delete Customer","1","0","Search customer","0"
"0","Customer","0","Transaction History","1","0","View transaction history","0"
"0","Customer","0","Customer Login","1","0","Customer login page UI","0"
"0","Bank Manager","0","Add Customer","5","0","Add customer with invalid data","0"
"0","Customer","0","Customer Login","5","0","Valid customer login","0"
"0","Customer","0","Customer Login","1","0","Customer login form state","0"
"0","Bank Manager","0","Delete Customer","1","0","Customers list visibility","0"
"0","Bank Manager","0","Add Customer","3","0","Add valid customer","0"
"0","Bank Manager","0","Open Account","3","0","Create account for existing customer","0"
"0","Customer","0","Deposit","3","0","Valid deposit","0"
"0","Customer","0","Withdraw","1","0","Balance after withdrawal","0"
"0","Bank Manager","0","Open Account","1","0","Open Account form visibility","0"
"0","Customer","0","Withdraw","1","0","Invalid withdrawal amount","0"
"0","Customer","0","Withdraw","1","0","Insufficient balance withdrawal","0"
"0","Bank Manager","0","Open Account","1","0","Open Account form interaction","0"
"0","Customer","0","Deposit","2","0","Invalid deposit","0"
"0","Customer","0","Customer Login","1","0","Customer logout","0"
"0","Customer","0","Withdraw","1","0","Valid withdrawal","0"
"0","Bank Manager","0","Add Customer","1","0","Add Customer form visibility","0"
"0","Customer","0","Withdraw","1","0","Full balance withdrawal","0"
"0","Bank Manager","0","Delete Customer","1","0","Pre-seeded customer data","0"
"0","Customer","0","Deposit","1","0","Balance after deposit","0"
