"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deposits 100, then attempts to withdraw 999. Expects a failure/error response.","3770","Withdraw more than the available balance — transaction should fail","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.WithdrawTest","Customer Tests","tests.customer.WithdrawTest","testWithdrawWithInsufficientBalance"
"Verifies that an account number is generated and shown in the alert after account creation.","1981","Create a bank account for an existing customer with each supported currency","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.CreateAccountTest","Bank Manager Tests","tests.manager.CreateAccountTest","testCreateAccountForExistingCustomer"
"Selects a customer from the dropdown and clicks Login; verifies the account dashboard appears.","1849","Login with a valid customer name and verify the dashboard loads","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.CustomerLoginTest","Customer Tests","tests.customer.CustomerLoginTest","testLoginWithValidCustomer"
"Opens the deposit panel, enters a valid amount, submits, and verifies success.","2522","Deposit a valid amount and verify balance increases and success message appears","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.DepositTest","Customer Tests","tests.customer.DepositTest","testDepositValidAmount"
"Selects a customer from the dropdown and clicks Login; verifies the account dashboard appears.","1799","Login with a valid customer name and verify the dashboard loads","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.CustomerLoginTest","Customer Tests","tests.customer.CustomerLoginTest","testLoginWithValidCustomer"
"Verifies that the Add Customer form handles invalid data correctly (numbers, special chars, blanks).","1915","Attempt to add a customer with invalid input; form should reject or show validation","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerWithInvalidData"
"Verifies that a customer can be added successfully and a confirmation alert appears.","1886","Add a new customer with valid first name, last name, and post code","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerWithValidData"
"Asserts that the transaction table contains no <input> elements, proving it is non-editable.","3249","Transaction history table is read-only — no editable input fields present","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.TransactionTest","Customer Tests","tests.customer.TransactionTest","testTransactionHistoryIsReadOnly"
"Verifies that the Add Customer form handles invalid data correctly (numbers, special chars, blanks).","2009","Attempt to add a customer with invalid input; form should reject or show validation","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerWithInvalidData"
"Creates a throwaway customer, deletes them, and asserts they are absent from the customer list.","2896","Add a customer, then delete them and verify removal from the list","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.DeleteCustomerTest","Bank Manager Tests","tests.manager.DeleteCustomerTest","testDeleteCustomerRemovedFromList"
